"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",211988,"occ",21281,"Hominidae indet.",9,40899,"Hominidae",9,40899,"Gelasian",2.588,1.806,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.706001,3.883,NA
"1:2",211989,"occ",21284,"Megalotragus cf. sp.",5,42795,"Megalotragus",5,42795,"Gelasian",2.588,1.806,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.733002,4,NA
"1:3",211991,"occ",21287,"Thryonomys sp.",5,42027,"Thryonomys",5,42027,"Late Pliocene",3.6,0.781,"4488;4488","1991-05-14 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:4",211993,"occ",21287,"Pelorovis sp.",5,42829,"Pelorovis",5,42829,"Late Pliocene",3.6,0.781,"4488;4488","1991-05-28 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:5",211994,"occ",21287,"Hystrix sp.",5,42010,"Hystrix",5,42010,"Late Pliocene",3.6,0.781,"4488;4488","1991-05-10 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:6",211995,"occ",21287,"Tatera sp.",5,41882,"Tatera",5,41882,"Late Pliocene",3.6,0.781,"4488;4488","1991-05-10 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:7",211996,"occ",21287,"Caprini indet.",7,94193,"Caprini",7,94193,"Late Pliocene",3.6,0.781,"4488;4488","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:8",211997,"occ",21287,"Trionyx sp.",5,37682,"Trionyx",5,37682,"Late Pliocene",3.6,0.781,"4488;4488","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:9",211998,"occ",21287,"Connochaetes sp.",5,42761,"Connochaetes",5,42761,"Late Pliocene",3.6,0.781,"4488;4488","1991-06-19 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:10",211999,"occ",21287,"Crocodylidae indet.",9,38435,"Crocodylidae",9,38435,"Late Pliocene",3.6,0.781,"4488;4488","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,"Early Pleistocene"
"1:11",212001,"occ",21291,"Pelorovis sp.",5,42829,"Pelorovis",5,42829,"Late Pliocene",3.6,0.781,"4454;4454","1991-05-28 00:00:00","2002-07-10 22:49:32",35.743999,4.15,"Early Pleistocene"
"1:12",212002,"occ",21292,"Dasyatis africana",3,154662,"Dasyatis africana",3,154662,"Late Pliocene",3.6,0.781,"5596;5596","1992-10-07 00:00:00","2002-07-10 22:49:32",35.741699,4.1667,"Early Pleistocene"
"1:13",212006,"occ",21294,"Suidae indet.",9,42381,"Suidae",9,42381,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:14",212009,"occ",21294,"Damaliscus sp.",5,42764,"Damaliscus",5,42764,"Calabrian",1.806,0.781,"4454;4454","1991-05-09 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:15",212010,"occ",21294,"Pelorovis sp.",5,42829,"Pelorovis",5,42829,"Calabrian",1.806,0.781,"4454;4454","1991-05-28 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:16",212012,"occ",21294,"Theropithecus oswaldi",3,133587,"Theropithecus oswaldi",3,133587,"Calabrian",1.806,0.781,"4454;4454","1991-05-09 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:17",212013,"occ",21294,"Hystrix sp.",5,42010,"Hystrix",5,42010,"Calabrian",1.806,0.781,"4454;4454","1991-05-10 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:18",212020,"occ",21294,"Reduncini indet.",7,100496,"Reduncini",7,100496,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:19",212022,"occ",21294,"Gazella janenschi",3,42774,"Gazella",5,42774,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:20",212023,"occ",21294,"Megalotragus cf. sp.",5,42795,"Megalotragus",5,42795,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:21",212025,"occ",21294,"Cercopithecidae indet.",9,40860,"Cercopithecidae",9,40860,"Calabrian",1.806,0.781,"4454;4454","1991-05-30 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:22",212026,"occ",21294,"Mammalia indet.",17,36651,"Mammalia",17,36651,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2006-07-08 16:46:08",35.792,4.25,NA
"1:23",212027,"occ",21294,"Reduncini indet.",7,100496,"Reduncini",7,100496,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:24",212028,"occ",21294,"Equidae indet.",9,42984,"Equidae",9,42984,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:25",212031,"occ",21294,"Hippopotamus aethiopicus",3,83620,"Hippopotamus aethiopicus",3,83620,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:26",212033,"occ",21294,"Aepyceros melampus cf.",3,149691,"Aepyceros melampus",3,149691,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
"1:27",212035,"occ",21294,"Caprini indet.",7,94193,"Caprini",7,94193,"Calabrian",1.806,0.781,"4454;4454","1991-09-01 00:00:00","2002-07-10 22:49:32",35.792,4.25,NA
